Id,screenname,userid,user_type,followers,description,active_status,since_id,count,last_access,last_status_desc,max_id,photo
233,c40cities,NULL,Indendent,0,NULL,0,423533662236188674,4189,2014-06-02 12:00:25,success,101738689507508225,NULL
235,AtmosNews,NULL,News,0,NULL,0,423548011386396672,4416,2014-06-02 12:45:12,success,101009853400616960,NULL
236,DeSmogBlog,NULL,Blog,0,NULL,0,423475920427438080,4007,2014-06-02 13:16:23,success,101038311602266114,NULL
237,Climate_Bill,NULL,Political,0,NULL,0,307307927843246080,452,2014-05-26 13:55:00,success,10388204042,NULL
238,PeterGleick,NULL,Researcher,0,NULL,0,423674560957804544,6688,2014-06-02 11:52:33,success,273956686027452419,NULL
239,WMOnews,NULL,News,0,NULL,0,423502370266308608,6003,2014-06-02 12:30:47,success,101310723283628033,NULL
240,wattsupwiththat,NULL,Independent,0,NULL,0,423726828570701824,11148,2014-06-02 13:10:01,success,326010190711369729,NULL
241,GreenLiberation,NULL,Political,0,NULL,0,423679165536411648,12941,2014-05-26 13:52:45,success,402092761790169089,NULL
242,NobleIdeas,NULL,Independent,0,NULL,0,423676600626860032,7467,2014-05-26 13:46:48,success,284069908562731008,NULL
243,PointCarbonNews,NULL,News,0,NULL,0,423611517654020096,5405,2014-06-02 11:28:27,success,100560281708670976,NULL
244,stopglobalwarm,NULL,Blog,0,NULL,0,423131037661532160,1072,2014-05-26 14:49:02,success,103188510453923840,NULL
245,Reportingclimat,NULL,News,0,NULL,0,423673703839588352,11897,2014-05-26 15:01:24,success,10020966843289600,NULL
246,GlobalWarming36,NULL,News,0,NULL,0,423720981148864512,14775,2014-05-26 15:20:14,success,356561012952014850,NULL
247,alannogee,NULL,Scientist,0,NULL,0,423633482624294912,8331,2014-06-02 12:47:03,success,331186287748993024,NULL
248,KHayhoe,NULL,Researcher,0,NULL,0,421473586730110976,1599,2014-06-02 12:19:43,success,100917933743669250,NULL
249,Agent350,NULL,Independent,0,NULL,0,423571283284987905,9752,2014-05-26 14:25:48,success,265848718891315200,NULL
250,NASAGlory,NULL,Political,0,NULL,0,56448562090876928,338,2014-05-26 13:25:53,success,10036260173250562,NULL
251,HeidiCullen,NULL,Political,0,NULL,0,423268250684649473,3404,2014-05-26 13:41:13,success,103556570062921728,NULL
